2026-01-29 19:38:25 [INFO] app: Logging configuration initialized
2026-01-29 19:38:25 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:38:25 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:38:31 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:38:31 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:38:32 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:38:32 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:38:34 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:38:34 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:38:57 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:38:57 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:38:58 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:38:58 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:38:59 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:38:59 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:39:00 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:39:00 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:39:02 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:39:02 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:39:32 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:39:32 [WARNING] app.api.deps: No Authorization header found.
